,size_kw,zipcode,install_type,cost,cost_per_watt,annual_PV_prod,tech_1,annual_insolation,rebate,tilt1,reported_annual_energy_prod,tracking_type,bipv,Lat,Long,year_installed,installer_company,installer
0,16.25,2038,residential,61563.0,3.7884923077,19121.34247,Poly,4.030390739,0.0,37.0,16786.0,Fixed,0,42.08,-71.38,2013,Direct Energy Solar,557
1,6.86,2038,residential,34128.5,4.975,7563.314968,Poly,3.78166008,0.0,40.0,6518.0,Fixed,0,42.08,-71.38,2013,SolarCity,2989
2,5.76,2038,residential,26956.8,4.68,7572.683672,Poly,4.496536732,4250.0,22.0,6482.51,Fixed,0,42.08,-71.38,2013,American Solar Partners,19
3,5.76,2038,residential,26956.8,4.68,6646.602656,Poly,3.976588249,4250.0,28.0,5652.0,Fixed,0,42.08,-71.38,2013,American Solar Partners,19
4,8.085,2038,residential,31127.25,3.85,10529.61601,Poly,4.45193243,2000.0,21.0,9068.44,Fixed,0,42.08,-71.38,2013,Next Step Living,855
5,3.92,2038,residential,13328.0,3.4,5315.656377,Poly,4.619856358,1568.0,42.0,4540.05,Fixed,0,42.08,-71.38,2013,Next Step Living,855
6,8.82,2038,residential,44100.0,5.0,9821.58249,Poly,3.818812609,2000.0,40.0,10743.246,Fixed,0,42.08,-71.38,2013,Next Step Living,855
7,8.1,2038,residential,28732.12,3.5471753086,10032.09126,Mono,4.241632462,4000.0,30.0,6613.8816,Fixed,0,42.08,-71.38,2013,Blue Selenium Solar,124
8,5.886,2038,residential,41202.0,7.0,7988.435802,Mono,4.629134178,4000.0,34.0,6761.1,Fixed,0,42.08,-71.38,2013,Next Step Living,855
9,4.41,2038,residential,22491.0,5.1,5915.145059,Poly,4.575724125,1764.0,36.0,4650.15,Fixed,0,42.08,-71.38,2013,SolarCity,2989
10,8.745,2038,residential,34234.2,3.9147169811,11203.23957,crystalline,4.37963438,2000.0,38.0,8728.96,Fixed,0,42.08,-71.38,2013,Second Generation Energy,118
11,7.02,2038,residential,28431.0,4.05,9118.549819,crystalline,4.430278301,2000.0,37.0,7677.92,Fixed,0,42.08,-71.38,2013,Direct Energy Solar,557
12,7.035,2038,residential,55215.0,7.8486140725,9385.750574,Mono,4.554344177,4000.0,29.0,8075.34,Fixed,0,42.08,-71.38,2013,Next Step Living,855
13,10.05,2038,residential,48737.5,4.8495024876,13657.01885,Mono,4.637528896,4000.0,32.0,11859.98,Fixed,0,42.08,-71.38,2013,Second Generation Energy,118
14,6.86,2038,residential,34128.5,4.975,7563.314968,Poly,3.78166008,0.0,40.0,6518.16,Fixed,0,42.08,-71.38,2013,SolarCity,2989
15,4.355,2038,residential,35334.0,8.1134328358,5464.546826,Mono,4.284404755,1742.0,35.0,5494.0,Fixed,0,42.08,-71.38,2014,Next Step Living,855
16,8.75,2038,residential,36000.0,4.1142857143,11660.67703,Poly,4.554542065,2000.0,28.0,9105.2,Fixed,0,42.08,-71.38,2014,Roof Diagnostics Solar & Electric,874
17,6.867,2038,residential,36395.1,5.3,9316.694115,Mono,4.629397392,4000.0,32.0,7731.9,Fixed,0,42.08,-71.38,2014,Second Generation Energy,118
