,size_kw,zipcode,install_type,cost,cost_per_watt,annual_PV_prod,tech_1,annual_insolation,rebate,tilt1,reported_annual_energy_prod,tracking_type,bipv,Lat,Long,year_installed,installer_company,installer
0,11.02,2038,residential,70680.0,6.4137931034,14921.71494,Poly,4.622653484,0.0,33.0,10945.0,Fixed,0,42.08,-71.38,2009,Sunbug Solar,392
1,17.52,2038,residential,75012.0,4.2815068493,22507.87257,Mono,4.391733646,0.0,38.0,17065.049,Fixed,0,42.08,-71.38,2012,Direct Energy Solar,954
2,16.25,2038,residential,61563.0,3.7884923077,19121.34247,Poly,4.030390739,0.0,37.0,16786.0,Fixed,0,42.08,-71.38,2013,Direct Energy Solar,954
3,6.86,2038,residential,34128.5,4.975,7563.314968,Poly,3.78166008,0.0,40.0,6518.0,Fixed,0,42.08,-71.38,2013,SolarCity,3552
4,5.07,2038,residential,36344.0,7.1684418146,6826.889301,Poly,4.594382286,11115.0,32.0,6125.0,Fixed,0,42.08,-71.38,2009,Invest Electrical Company,7
5,11.02,2038,residential,70680.0,6.4137931034,14921.71494,Poly,4.622653484,0.0,33.0,10982.0,Fixed,0,42.08,-71.38,2009,Sunbug Solar,392
6,6.15,2038,residential,31079.2,5.0535284553,7890.698492,Poly,4.388144493,5000.0,34.0,6988.9,Fixed,0,42.08,-71.38,2011,RGS/Real Goods,774
7,6.9,2038,residential,37987.65,5.5054565217,8519.201404,Poly,4.228725433,5000.0,30.0,7241.0,Fixed,0,42.08,-71.38,2011,Grosolar,93
8,4.44,2038,residential,21870.0,4.9256756757,5709.082837,Mono,4.391291142,7548.0,30.0,4473.72,Fixed,0,42.08,-71.38,2011,Solarflair Energy,513
9,3.6,2038,residential,18627.0,5.1741666667,4881.135498,Mono,4.628485203,2643.75,30.0,3736.6,Fixed,0,42.08,-71.38,2012,RGS/Real Goods,774
10,5.76,2038,residential,25915.0,4.4991319444,7828.355391,Poly,4.635091305,4250.0,35.0,6867.63,Fixed,0,42.08,-71.38,2012,Sunlight Solar Energy,210
11,6.84,2038,residential,52873.2,7.73,8605.244355,Mono,4.289448261,2000.0,46.0,7295.47,Fixed,0,42.08,-71.38,2012,Sungevity,493
12,7.35,2038,residential,28959.0,3.94,9093.721106,Poly,4.239694119,2000.0,14.0,8602.56,Fixed,0,42.08,-71.38,2012,Roof Diagnostics Solar & Electric,953
13,5.76,2038,residential,26956.8,4.68,7572.683672,Poly,4.496536732,4250.0,22.0,6482.51,Fixed,0,42.08,-71.38,2013,American Solar Partners,111
